TrainMAE,TestMAE,max_depth,min_samples_leaf,random_state,ccp_alpha
11.177726969824967,20.975321372421178,40,2,1,1
12.047783057449818,21.82274018559422,40,2,1,1.5
12.981391785731853,21.86299063514504,40,2,1,2
8.898373544588056,21.413542188988615,45,2,1,0.1
10.02822968804598,21.191563018532555,45,2,1,0.5
11.177726969824967,20.975321372421178,45,2,1,1
12.047783057449818,21.82274018559422,45,2,1,1.5
12.981391785731853,21.86299063514504,45,2,1,2
8.898373544588056,21.413542188988615,50,2,1,0.1
10.02822968804598,21.191563018532555,50,2,1,0.5
11.177726969824967,20.975321372421178,50,2,1,1
12.047783057449818,21.82274018559422,50,2,1,1.5
12.981391785731853,21.86299063514504,50,2,1,2
19.321851285963152,24.862271075346378,15,4,1,0.1
19.398181195100637,24.920053686253986,15,4,1,0.5
19.667375769657983,24.731893813719115,15,4,1,1
20.021245000531458,24.70542778294274,15,4,1,1.5
20.133449398044768,24.61252612441608,15,4,1,2
17.147685754021346,24.01905309305499,20,4,1,0.1
17.272013593491142,24.078878882345066,20,4,1,0.5
17.660242118951942,23.811864735777345,20,4,1,1
18.128480198439224,23.83801609681091,20,4,1,1.5
18.30968946069872,23.76409991709116,20,4,1,2
16.103768203128986,23.465115506186937,25,4,1,0.1
16.26355669130864,23.584167485953202,25,4,1,0.5
16.80323149219048,23.285261719101005,25,4,1,1
17.271340355665586,23.209508494411427,25,4,1,1.5
17.648146695225638,23.418605135204494,25,4,1,2
15.8598988349694,23.496796259296257,30,4,1,0.1
16.0421489834656,23.711699609913897,30,4,1,0.5
16.621080706885124,23.551682731950592,30,4,1,1
17.08918957036023,23.475929507261007,30,4,1,1.5
17.465995909920277,23.685026148054078,30,4,1,2
15.8598988349694,23.496796259296257,35,4,1,0.1
16.0421489834656,23.711699609913897,35,4,1,0.5
16.621080706885124,23.551682731950592,35,4,1,1
17.08918957036023,23.475929507261007,35,4,1,1.5
17.465995909920277,23.685026148054078,35,4,1,2
15.8598988349694,23.496796259296257,40,4,1,0.1
16.0421489834656,23.711699609913897,40,4,1,0.5
16.621080706885124,23.551682731950592,40,4,1,1
17.08918957036023,23.475929507261007,40,4,1,1.5
17.465995909920277,23.685026148054078,40,4,1,2
15.8598988349694,23.496796259296257,45,4,1,0.1
16.0421489834656,23.711699609913897,45,4,1,0.5
16.621080706885124,23.551682731950592,45,4,1,1
17.08918957036023,23.475929507261007,45,4,1,1.5
17.465995909920277,23.685026148054078,45,4,1,2
15.8598988349694,23.496796259296257,50,4,1,0.1
16.0421489834656,23.711699609913897,50,4,1,0.5
16.621080706885124,23.551682731950592,50,4,1,1
17.08918957036023,23.475929507261007,50,4,1,1.5
17.465995909920277,23.685026148054078,50,4,1,2
22.000907073060226,27.78410125964398,15,6,1,0.1
22.01971434171994,27.617227463104282,15,6,1,0.5
22.09312846877941,27.66597610305427,15,6,1,1
22.34924403715443,27.75798345758265,15,6,1,1.5
22.499867569796255,27.688480231426357,15,6,1,2
20.743172871986197,27.92995859352871,20,6,1,0.1
20.808774021184455,27.842147672139077,20,6,1,0.5
20.882188148243923,27.890896312089062,20,6,1,1
21.138303716618946,27.982903666617446,20,6,1,1.5
21.28892724926077,27.913400440461146,20,6,1,2
19.68696004929072,27.245331716602724,25,6,1,0.1
19.750869615258516,27.199562720678927,25,6,1,0.5
19.828889551175614,27.321703108632466,25,6,1,1
20.11814593391245,27.340195854325863,25,6,1,1.5
20.26876946655428,27.270692628169567,25,6,1,2
19.665629119442443,27.185382737010887,30,6,1,0.1
19.72953868541024,27.139613741087093,30,6,1,0.5
19.80755862132733,27.261754129040632,30,6,1,1
20.11814593391245,27.340195854325863,30,6,1,1.5
20.26876946655428,27.270692628169567,30,6,1,2
19.665629119442443,27.185382737010887,35,6,1,0.1
19.72953868541024,27.139613741087093,35,6,1,0.5
19.80755862132733,27.261754129040632,35,6,1,1
20.11814593391245,27.340195854325863,35,6,1,1.5
20.26876946655428,27.270692628169567,35,6,1,2
19.665629119442443,27.185382737010887,40,6,1,0.1
19.72953868541024,27.139613741087093,40,6,1,0.5
19.80755862132733,27.261754129040632,40,6,1,1
20.11814593391245,27.340195854325863,40,6,1,1.5
20.26876946655428,27.270692628169567,40,6,1,2
19.665629119442443,27.185382737010887,45,6,1,0.1
19.72953868541024,27.139613741087093,45,6,1,0.5
19.80755862132733,27.261754129040632,45,6,1,1
20.11814593391245,27.340195854325863,45,6,1,1.5
20.26876946655428,27.270692628169567,45,6,1,2
19.665629119442443,27.185382737010887,50,6,1,0.1
19.72953868541024,27.139613741087093,50,6,1,0.5
19.80755862132733,27.261754129040632,50,6,1,1
20.11814593391245,27.340195854325863,50,6,1,1.5
20.26876946655428,27.270692628169567,50,6,1,2
26.096167523375623,34.03908649305029,15,8,1,0.1
26.17938426220625,33.86487477626116,15,8,1,0.5
26.323947584631888,33.89059868276238,15,8,1,1
26.331060840028684,33.87075324458711,15,8,1,1.5
26.40152814218122,33.736843452774714,15,8,1,2
25.025258100648994,33.11671010715071,20,8,1,0.1
25.108474839479623,32.942498390361585,20,8,1,0.5
25.232848887457312,33.025365154005655,20,8,1,1
25.308022248703832,33.16544250940628,20,8,1,1.5
25.449439797134524,33.02526705343349,20,8,1,2
25.040370557899916,33.10683484727545,25,8,1,0.1
