TrainMAE,TestMAE,max_depth,min_samples_leaf,max_features,ccp_alpha_vals
37.26264929213511,36.001498890252364,25,6,1,0.5
37.38789355172812,36.083506486431254,25,6,1,1
37.19330326392088,35.84323059686991,25,6,1,1.5
37.37746772690874,36.068937863792215,25,6,1,2
37.33166090533207,36.034400561672214,30,6,1,0.1
37.22686177270345,35.89525247941816,30,6,1,0.5
37.33235028789115,36.06659393183825,30,6,1,1
37.31266431421563,35.96615779013272,30,6,1,1.5
37.35813412850328,36.033335962539226,30,6,1,2
37.41249596148296,36.09979622071171,35,6,1,0.1
37.294960909968594,35.99761694630609,35,6,1,0.5
37.62127016653351,36.30759127318263,35,6,1,1
37.28801648627799,35.98654229469432,35,6,1,1.5
37.48724974238694,36.120741216833984,35,6,1,2
37.35809737601693,36.06330788860307,40,6,1,0.1
37.2856528371001,35.966978884315665,40,6,1,0.5
37.374633718796225,36.05041208259635,40,6,1,1
37.255005232589845,35.93946561410822,40,6,1,1.5
37.17299902753801,35.955191548044745,40,6,1,2
37.36360100320303,36.096231947119485,45,6,1,0.1
37.4845940337921,36.16358286154226,45,6,1,0.5
37.46025009852888,36.14255642867745,45,6,1,1
37.37320322923395,36.06616504664234,45,6,1,1.5
37.38504306165405,36.06887679133862,45,6,1,2
37.452988883036454,36.17648217913421,50,6,1,0.1
37.28144454258332,35.945960637679654,50,6,1,0.5
37.549866592716874,36.26775126919383,50,6,1,1
37.61553924275609,36.19660648538701,50,6,1,1.5
37.31183229624837,35.96403488816224,50,6,1,2
38.81014533273114,37.28377510124257,15,8,1,0.1
38.74361844221205,37.26396732647043,15,8,1,0.5
38.76463620058341,37.260769711912516,15,8,1,1
38.681028765719404,37.27242600643893,15,8,1,1.5
38.77318458136848,37.32947540404352,15,8,1,2
38.59352523640871,37.15992539685659,20,8,1,0.1
38.67895608478515,37.228688856794875,20,8,1,0.5
38.748841353550006,37.33234778687198,20,8,1,1
38.72232538794307,37.27858595872944,20,8,1,1.5
38.71613145405029,37.268654301663624,20,8,1,2
38.829705906087675,37.323723861944266,25,8,1,0.1
38.56372195835391,37.12385327540171,25,8,1,0.5
38.5715161538321,37.12671622616747,25,8,1,1
38.639279602928745,37.196946952706824,25,8,1,1.5
38.61525404898039,37.17715974178233,25,8,1,2
39.01195084818031,37.587061118264785,30,8,1,0.1
38.82101520635605,37.347753624945554,30,8,1,0.5
38.706464454419475,37.215016086361054,30,8,1,1
38.70262231403089,37.20713319122912,30,8,1,1.5
38.69078683191662,37.22123750795149,30,8,1,2
38.54862861669946,37.114993460619885,35,8,1,0.1
38.83809659083352,37.44358665616541,35,8,1,0.5
38.47441623789777,37.050240044005456,35,8,1,1
38.75877187247492,37.3108039105009,35,8,1,1.5
38.789265948448914,37.37886679495224,35,8,1,2
38.82878801092209,37.338558470397615,40,8,1,0.1
38.81896220808354,37.352125385960186,40,8,1,0.5
38.64668735042395,37.261409716488956,40,8,1,1
38.62873694951925,37.20854899162928,40,8,1,1.5
38.78263543030003,37.282717884155645,40,8,1,2
38.561505566908394,37.07334474811726,45,8,1,0.1
38.71921745914124,37.27649917098599,45,8,1,0.5
38.48938703397684,36.995611192188804,45,8,1,1
38.62887276856182,37.174186420271326,45,8,1,1.5
38.67334618546897,37.230705788443,45,8,1,2
38.853708708219806,37.37814620694979,50,8,1,0.1
38.76958298308881,37.32672241968203,50,8,1,0.5
38.83810125665517,37.33953375604163,50,8,1,1
38.650850994864854,37.20240221068879,50,8,1,1.5
38.532714876098986,37.08255657799145,50,8,1,2
39.53866470412638,38.03855917940132,15,10,1,0.1
39.558112182604006,38.090109891700614,15,10,1,0.5
39.61610234628143,38.081567306265384,15,10,1,1
39.58615778974261,38.06302420851738,15,10,1,1.5
39.51149998323538,37.98635056609354,15,10,1,2
39.54121626622884,38.072867032709425,20,10,1,0.1
39.36836338683663,37.89707314541005,20,10,1,0.5
39.56199554445981,38.08843159806308,20,10,1,1
39.64522943946635,38.164810194901825,20,10,1,1.5
39.388060968110786,37.852833944078,20,10,1,2
39.45148732679843,37.93217523814153,25,10,1,0.1
39.4927686480218,37.99741974528644,25,10,1,0.5
39.52272510724997,37.99196113417702,25,10,1,1
39.424705439443755,37.96658090770687,25,10,1,1.5
39.673290470971715,38.18835444728008,25,10,1,2
39.62538121346418,38.105403264346705,30,10,1,0.1
39.48427446480557,37.970976661432076,30,10,1,0.5
39.56223910297702,38.06236168105098,30,10,1,1
39.52977966967972,38.049841006135615,30,10,1,1.5
39.69317684892223,38.24017319389685,30,10,1,2
39.651527311052554,38.17572844081043,35,10,1,0.1
39.45495629516599,37.950557886280976,35,10,1,0.5
39.47686737822444,37.990256773795714,35,10,1,1
39.38887230845817,37.92250096328596,35,10,1,1.5
39.577412531706585,38.087975876573125,35,10,1,2
39.49987392345773,37.980355696379206,40,10,1,0.1
39.5518097032825,38.05070407524146,40,10,1,0.5
39.56743715548798,38.03944847175539,40,10,1,1
39.60731515403998,38.145040256139346,40,10,1,1.5
39.49766436203969,37.98831370145059,40,10,1,2
39.52152216272167,37.99667022749225,45,10,1,0.1
39.52822685638635,38.028960432250834,45,10,1,0.5
39.33954952664895,37.86070988678882,45,10,1,1
39.58020152063098,38.1159236329264,45,10,1,1.5
39.59050582942829,38.06363220175437,45,10,1,2
39.60772695319832,38.12049895395134,50,10,1,0.1
39.567466039698864,38.057714309193294,50,10,1,0.5
39.3369050888318,37.788513381997916,50,10,1,1
39.49419890239494,38.01662671487769,50,10,1,1.5
39.57893793685888,38.060015608698826,50,10,1,2
29.4189378452296,31.025406711723615,15,1,2,0.1
29.255652752639122,30.85113962336397,15,1,2,0.5
29.410311285222647,31.047845616869523,15,1,2,1
29.499130564541662,31.02430345769981,15,1,2,1.5
29.657666332899378,31.08193261744655,15,1,2,2
29.16496181640283,30.719828712359487,20,1,2,0.1
29.358492608987454,31.00479203217649,20,1,2,0.5
29.282065460600162,30.860491458329502,20,1,2,1
29.50139294836903,31.107003688495894,20,1,2,1.5
29.494789461036724,31.144127444518475,20,1,2,2
29.33068182895632,30.893917160902134,25,1,2,0.1
29.239191565316123,30.835189240427596,25,1,2,0.5
29.297353116929138,30.906261554719332,25,1,2,1
29.357073144730734,30.97040468380705,25,1,2,1.5
29.509545945833906,30.985155175756052,25,1,2,2
