TrainMAE,TestMAE,Gamma,LearningRate,MaxDepth,RegAlpha
2.5309246111618107,15.419821589830375,4,0.05,12,1.5
2.6692987255493548,15.569265269097828,4,0.05,12,2
2.2468390162685568,15.826507449150085,4,0.05,14,0.1
2.345579556235505,15.405819651626405,4,0.05,14,0.5
2.405792155476399,15.944587349891663,4,0.05,14,1
2.5461199659027636,15.704680518025445,4,0.05,14,1.5
2.637238446470315,15.809538174243201,4,0.05,14,2
2.289188544456891,15.65068469161079,4,0.05,16,0.1
2.2809583798567954,15.642275458290463,4,0.05,16,0.5
2.3570544977920163,15.838867596217565,4,0.05,16,1
2.4338042950404555,15.801243180320377,4,0.05,16,1.5
2.4788236142959756,15.779301291420346,4,0.05,16,2
2.1972303963359345,15.803468340919132,4,0.05,18,0.1
2.231958198622574,15.547299792369207,4,0.05,18,0.5
2.325633957559002,15.857089613165174,4,0.05,18,1
2.3916162384045236,15.770990164507003,4,0.05,18,1.5
2.4337259656372634,15.661671428453355,4,0.05,18,2
2.1646306335487324,15.45540970280057,4,0.05,20,0.1
2.1967672513235756,15.861042289506821,4,0.05,20,0.5
2.2545757248574625,16.259899647462937,4,0.05,20,1
2.320068695943814,16.073312631675176,4,0.05,20,1.5
2.3834369665189996,16.283298004241217,4,0.05,20,2
2.317137282980228,15.070979881499495,4,0.1,12,0.1
2.581751233897124,15.047405120162736,4,0.1,12,0.5
2.409672275013227,15.441300854796456,4,0.1,12,1
2.4929724546887773,15.253240548429035,4,0.1,12,1.5
2.6080042983705938,15.275388388406663,4,0.1,12,2
2.3754002970225176,15.91908018007165,4,0.1,14,0.1
2.325475955485796,15.90565271320797,4,0.1,14,0.5
2.3618830744525736,15.549572718994957,4,0.1,14,1
2.4538816051904337,15.485500804015569,4,0.1,14,1.5
2.5021391845025223,15.443649384237471,4,0.1,14,2
2.1738969344571313,15.822401080812726,4,0.1,16,0.1
2.2747301669276223,15.904153443518139,4,0.1,16,0.5
2.375298103950252,15.382816402685075,4,0.1,16,1
2.3955406555994077,15.852348404271263,4,0.1,16,1.5
2.4282790438735273,15.713286967504592,4,0.1,16,2
2.220880775672279,15.637653867403666,4,0.1,18,0.1
2.177234153266209,15.795108261562529,4,0.1,18,0.5
2.2690808494760413,15.450323133241563,4,0.1,18,1
2.366991306830405,15.910632093747457,4,0.1,18,1.5
2.418844461691743,15.615178789411273,4,0.1,18,2
2.1257923313746567,15.649195120448159,4,0.1,20,0.1
2.1596759290725274,15.893426432496025,4,0.1,20,0.5
2.26086657731691,16.152509127344405,4,0.1,20,1
2.322292004473954,15.709041782787867,4,0.1,20,1.5
2.371216752927762,15.910663105192638,4,0.1,20,2
2.2475963938750176,17.029902074308623,4,0.5,12,0.1
2.161010653940034,16.481434572310675,4,0.5,12,0.5
2.2617366557116263,16.533396976334707,4,0.5,12,1
2.385578136464148,16.744676071973075,4,0.5,12,1.5
2.3819208563815657,16.722443254221055,4,0.5,12,2
2.116289239451211,16.701685384448087,4,0.5,14,0.1
2.255198824042151,17.29825117758342,4,0.5,14,0.5
2.2174411436736774,17.163962772914342,4,0.5,14,1
2.303523301827544,17.41062750277065,4,0.5,14,1.5
2.4217110583960193,17.437876071248734,4,0.5,14,2
2.025287073242677,18.372150883788155,4,0.5,16,0.1
2.133532585280425,18.078900683493842,4,0.5,16,0.5
2.2836337861703897,17.850808325267973,4,0.5,16,1
2.3840202914176802,17.080728614614124,4,0.5,16,1.5
2.350727903604758,16.73320853426343,4,0.5,16,2
2.007814166046969,17.571393516801653,4,0.5,18,0.1
2.12389421488083,16.863548982711066,4,0.5,18,0.5
2.232862529945173,17.241727857362655,4,0.5,18,1
2.2866555200390257,17.421241970289323,4,0.5,18,1.5
2.3548278985339386,17.528353952226183,4,0.5,18,2
2.022201505243841,18.1651159851324,4,0.5,20,0.1
2.0907280510281665,17.75889974548703,4,0.5,20,0.5
2.135282835875149,17.68935650587082,4,0.5,20,1
2.2703590723994402,17.89380418402808,4,0.5,20,1.5
2.291451016184409,17.04832821232932,4,0.5,20,2
5.828780362784047,16.02036096510433,4.5,0.001,12,0.1
5.8701270606866265,15.907838547513599,4.5,0.001,12,0.5
5.809430273298711,16.048332962251845,4.5,0.001,12,1
5.959053131809496,16.108451464346476,4.5,0.001,12,1.5
5.82359869146698,16.213826416503814,4.5,0.001,12,2
4.4332765121439905,15.767590742735635,4.5,0.001,14,0.1
4.489581605738771,15.885592024950753,4.5,0.001,14,0.5
4.51866620120942,15.91770262945266,4.5,0.001,14,1
4.630364584998001,15.970476176057543,4.5,0.001,14,1.5
4.648910786701928,15.747318117391496,4.5,0.001,14,2
3.160134858012074,15.816450996058327,4.5,0.001,16,0.1
3.075153094110178,15.74971673318318,4.5,0.001,16,0.5
3.132713969197559,15.713710872899918,4.5,0.001,16,1
3.2353231139739607,15.727331064996266,4.5,0.001,16,1.5
3.004556073249953,15.835656041190738,4.5,0.001,16,2
2.4612544813868125,15.733970400832948,4.5,0.001,18,0.1
2.4710173754787346,15.86386546918324,4.5,0.001,18,0.5
2.519840967266592,15.924302850450788,4.5,0.001,18,1
2.5640859536192018,15.921508803254081,4.5,0.001,18,1.5
2.7057459193950697,15.757921128045945,4.5,0.001,18,2
2.2693436625878767,15.953708708286285,4.5,0.001,20,0.1
2.3745919860875944,16.154066139743442,4.5,0.001,20,0.5
2.4186906789504894,16.147498071193695,4.5,0.001,20,1
2.4713942775214885,16.269230436711084,4.5,0.001,20,1.5
2.5132888993003517,16.29442404565357,4.5,0.001,20,2
2.441197194260879,15.493773648781437,4.5,0.005,12,0.1
2.481761619934399,15.46871979570105,4.5,0.005,12,0.5
2.739697474410481,15.761571354099683,4.5,0.005,12,1
2.697223040897137,15.529973584626402,4.5,0.005,12,1.5
2.7690885782743226,15.50254341356811,4.5,0.005,12,2
2.376527218036471,15.700192189642362,4.5,0.005,14,0.1
