TrainMAE,TestMAE,Gamma,LearningRate,MaxDepth,RegAlpha
61.47076305555871,71.06221286171959,0,5e-05,6,0.1
61.47108682234831,71.063440681923,0,5e-05,6,0.5
61.47967548300164,70.75026155795369,0,5e-05,8,1e-05
61.4796684322297,70.7502663192295,0,5e-05,8,5e-05
61.47967307036106,70.75027307158425,0,5e-05,8,0.0001
61.479674597769254,70.75020816354524,0,5e-05,8,0.0005
61.47967293009272,70.75021582558041,0,5e-05,8,0.001
61.47966058873478,70.7502982162294,0,5e-05,8,0.005
61.47968582174379,70.75034682097889,0,5e-05,8,0.01
61.47974893435068,70.75086707160587,0,5e-05,8,0.05
61.47986634572347,70.75158344280152,0,5e-05,8,0.1
61.480562893123405,70.7573140206791,0,5e-05,8,0.5
61.532199569555736,70.6463951695533,0,5e-05,10,1e-05
61.53433405375255,70.66143568356831,0,5e-05,10,5e-05
61.53315975839031,70.6536009077515,0,5e-05,10,0.0001
61.53419578050339,70.66056645555156,0,5e-05,10,0.0005
61.53456710503054,70.66337209939957,0,5e-05,10,0.001
61.534103075913954,70.65961197160539,0,5e-05,10,0.005
61.53473455873323,70.66365358446326,0,5e-05,10,0.01
61.53245019361173,70.64697000384331,0,5e-05,10,0.05
61.5333836383248,70.65248635553178,0,5e-05,10,0.1
61.527473858979725,70.59633331639427,0,5e-05,10,0.5
61.57516209779603,70.42477529460476,0,5e-05,12,1e-05
61.57524095004039,70.42495576114882,0,5e-05,12,5e-05
61.575226184446855,70.42509627626056,0,5e-05,12,0.0001
61.57518122092156,70.42485940740222,0,5e-05,12,0.0005
61.575187198684546,70.42486118844577,0,5e-05,12,0.001
61.57533778972555,70.42535386057128,0,5e-05,12,0.005
61.575311062714526,70.42529769951389,0,5e-05,12,0.01
61.575732682906995,70.42665463898864,0,5e-05,12,0.05
61.576326586658645,70.42858466435047,0,5e-05,12,0.1
61.57842316211335,70.43337744687285,0,5e-05,12,0.5
61.58326937385162,70.25757984994422,0,5e-05,14,1e-05
61.58333040913322,70.2575826116261,0,5e-05,14,5e-05
61.5832999538548,70.2575631539027,0,5e-05,14,0.0001
61.583302282384516,70.25757669444594,0,5e-05,14,0.0005
61.58332825534351,70.25763398196015,0,5e-05,14,0.001
61.583274496341225,70.25775047285217,0,5e-05,14,0.005
61.58331521251851,70.25780451120366,0,5e-05,14,0.01
61.58344731671828,70.25866002305632,0,5e-05,14,0.05
61.58360394669381,70.25965914201169,0,5e-05,14,0.1
61.584699802970285,70.26378913401138,0,5e-05,14,0.5
61.65003811423084,70.24179477386531,0,5e-05,16,1e-05
61.649948636565426,70.2417118070381,0,5e-05,16,5e-05
61.650034476905965,70.24167250203234,0,5e-05,16,0.0001
61.65003832833123,70.24184583588725,0,5e-05,16,0.0005
61.64995542084005,70.2417202932494,0,5e-05,16,0.001
61.649988308564595,70.24172797728153,0,5e-05,16,0.005
61.65007197342962,70.24183571516048,0,5e-05,16,0.01
61.650342977385414,70.2422147446445,0,5e-05,16,0.05
61.650712669585154,70.24233422712202,0,5e-05,16,0.1
61.653730086849066,70.24119001201221,0,5e-05,16,0.5
61.65425504632803,70.11944413220598,0,5e-05,18,1e-05
61.65423099764013,70.11945881233329,0,5e-05,18,5e-05
61.65423184677128,70.11945964608874,0,5e-05,18,0.0001
61.65424509554882,70.11949583781617,0,5e-05,18,0.0005
61.65426778028691,70.11947214355071,0,5e-05,18,0.001
61.65427527166942,70.11950776796965,0,5e-05,18,0.005
61.65431849763471,70.11950680436124,0,5e-05,18,0.01
61.654559925652954,70.1196128981454,0,5e-05,18,0.05
61.65487448512317,70.11976417650779,0,5e-05,18,0.1
61.65663124033329,70.11707642745404,0,5e-05,18,0.5
